Category	Role
Ensemble	Wind Ensemble (Winds)
MainPerformer	Collaboration
MainPerformer	Featured Artist
MainPerformer	Featuring
MainPerformer	Featuring [Feat.]
MainPerformer	Featuring [Rap]
MainPerformer	Featuring [Uncredited]
MainPerformer	Featuring [Vocals]
MainPerformer	Featuring [With]
MainPerformer	Guitar [Solo]
MainPerformer	Main Personnel
MainPerformer	Primary Artist
MainPerformer	Rap [Featuring]
MainPerformer	Saxophone [Solo]
MainPerformer	Solo
MainPerformer	Solo Vocal
MainPerformer	Solo Vocals
MainPerformer	Soloist
MainPerformer	Trumpet [Solo]
MainPerformer	Violin [Solo]
MainPerformer	Vocals [Featuring]
Performer	1-String Bass
Performer	1-String Fiddle
Performer	10-String Bass
Performer	10-String Guitar
Performer	11-String Guitar
Performer	12 String Guitar
Performer	12-String Acoustic Guitar
Performer	12-String Bass
Performer	12-String Bass Guitar
Performer	12-String Electric Guitar
Performer	12-String Fiddle
Performer	12-String Guitar
Performer	16-String Zither
Performer	17-String Bass Koto
Performer	17-String Koto
Performer	2-Hole Flute
Performer	2-String Bass
Performer	2-String Fiddle
Performer	2-String Guitar
Performer	3-String Bass
Performer	3-String Guitar
Performer	3-String Lute
Performer	3-String Viola
Performer	4-String Banjo
Performer	4-Strings
Performer	5-String Banjo
Performer	5-String Bass
Performer	6-String Acoustic Guitar
Performer	6-String Banjo
Performer	6-String Bass
Performer	6-String Electric Bass
Performer	6-String Electric Guitar
Performer	6-String Guitar
Performer	6-String Viola
Performer	6-String Violin
Performer	7-String Acoustic Guitar
Performer	7-String Banjo
Performer	7-String Bass
Performer	7-String Electric Guitar
Performer	7-String Guitar
Performer	8-String Bass
Performer	8-String Guitar
Performer	9-String Guitar
Performer	Abiti
Performer	Abomey
Performer	Accompanied By
Performer	Accompaniment
Performer	Accordina
Performer	Accordion
Performer	Accordion (Chromatic)
Performer	Accordion (Diatonic)
Performer	Acoustic 6-String Guitar
Performer	Acoustic Bass
Performer	Acoustic Bass Guitar
Performer	Acoustic Fretless Guitar
Performer	Acoustic Guitar
Performer	Acoustic Guitar Samples
Performer	Acoustic Slide Guitar
Performer	Additional Music
Performer	Adunqu
Performer	Aeolian Harp
Performer	Aeolian Organ
Performer	Afoxe
Performer	Afoxé
Performer	African Balaphone
Performer	African Bells
Performer	African Drums
Performer	African Flute
Performer	African Harp
Performer	African Percussion
Performer	African Piano
Performer	African Shakers
Performer	Afro-Cuban Percussion
Performer	Afuche
Performer	Afuche / Cabasa
Performer	Afuche/Cabasa
Performer	Agogo
Performer	Agogô
Performer	Agogo Bell
Performer	Agong-Gon
Performer	Airdrums
Performer	Ajaeng
Performer	Akadinda
Performer	Akete
Performer	AKS
Performer	Alaap
Performer	Alarm Clock
Performer	Alaude
Performer	Alfaia
Performer	Algaita
Performer	Algarabia
Performer	Alghoza
Performer	Algoza
Performer	Algozey
Performer	Allemande
Performer	Almglocken
Performer	Alphorn
Performer	Alti
Performer	Alto
Performer	Alto (Tenor) Horn
Performer	Alto (Vocals)
Performer	Alto Chalumeau
Performer	Alto Clarinet
Performer	Alto Cornet
Performer	Alto Flute
Performer	Alto Guitar
Performer	Alto Horn
Performer	Alto Recorder
Performer	Alto Sackbut
Performer	Alto Saxophone
Performer	Alto Shawm
Performer	Alto Tenor
Performer	Alto Tenor (Vocal)
Performer	Alto Trombone
Performer	Alto Viol
Performer	Alto Viola
Performer	Alto Viola da gamba
Performer	Alto Violin
Performer	Alto Vocals
Performer	Aluminafon
Performer	Amadinda
Performer	Ambience
Performer	Ambio
Performer	Amhranai
Performer	Ampeg Baby Bass
Performer	Amplified Harmonica
Performer	Amponga
Performer	Amyrga
Performer	Analog Synthesizer
Performer	Analogue Synthesizer
Performer	Andean Drums
Performer	Andean Flute
Performer	Andean Harp
Performer	Andean Pipe
Performer	Angklung
Performer	Anglais
Performer	Anglo Concertina
Performer	Animal Sounds
Performer	Ankle Rattlers
Performer	Antara
Performer	Antique Cymbal
Performer	Anvil
Performer	Apentema
Performer	Apito
Performer	Aponga
Performer	Appalachian Dulcimer
Performer	Applause
Performer	Arabian Drum
Performer	Arabian Flute
Performer	Arabian Violin
Performer	Arabic
Performer	Arch Cittern
Performer	Archaic And Other Bowed String-Instruments
Performer	Archguitar
Performer	Archlute
Performer	Archtop Guitar
Performer	Arco Bass
Performer	Ardine
Performer	Arghoul
Performer	Arghul
Performer	Argol
Performer	Arp 2600
Performer	Arp Bass
Performer	Arp Echoplex
Performer	Arp Explorer I
Performer	Arp Odyssey
Performer	Arp Omni
Performer	Arp Pro Soloist
Performer	Arp Strings
Performer	ARP Synthesizer
Performer	Arpa
Performer	Arpa Doppia
Performer	Arpa India
Performer	Arpeggione
Performer	Arpegina
Performer	Arra
Performer	Arrabel
Performer	Arranjo
Performer	Arreglos
Performer	Asheiko
Performer	Ashiko
Performer	Ashiko Drum
Performer	Assobios
Performer	Associate Musician
Performer	Atabal
Performer	Atabaque
Performer	Atarigane
Performer	Atmosphere
Performer	Atsimevu
Performer	Atumpan
Performer	Aud
Performer	Aulos
Performer	Auricle Programming
Performer	Auto-bass
Performer	Autoharp
Performer	Autoharp (Hammered)
Performer	Automatic Orchestra
Performer	Avisador Cuerda
Performer	Awazia
Performer	Axabeba
Performer	Axatse
Performer	Ayotte Drums
Performer	Azizakwe
Performer	Aztec Drum
Performer	B-Flat Clarinet
Performer	Ba Wu
Performer	Baby Grand Piano
Performer	Background Music
Performer	Background Vocals
Performer	Background Vocals Samples
Performer	Backing Band
Performer	Backing Vocals
Performer	Backing Vocals [Additional]
Performer	Backing Vocals [Background Vocals]
Performer	Backing Vocals [Background]
Performer	Backing Vocals [Uncredited]
Performer	Backwards Vocals
Performer	Bacurinhas
Performer	Badjoude
Performer	Baglama
Performer	Bagpipe
Performer	Bagpipes
Performer	Baiano
Performer	Bailaora
Performer	Bailarina
Performer	Baixo
Performer	Baja
Performer	Bajan
Performer	Bajista
Performer	Bajo Licencia
Performer	Bajo Quinto
Performer	Bajo Sexto
Performer	Bajon
Performer	Bajos
Performer	Bakdav
Performer	Balaban
Performer	Balafon
Performer	Balai
Performer	Balalaika
Performer	Balama
Performer	Balan
Performer	Balloon
Performer	Balo
Performer	Bamboo Angklung
Performer	Bamboo Coche
Performer	Bamboo Drum Set
Performer	Bamboo Flute
Performer	Bamboo Pipe
Performer	Bamboo Saxophone
Performer	Bamboo Trumpet
Performer	Bamboo Whistle
Performer	Bamboo Xylophone
Performer	Bambou
Performer	Bambu
Performer	Bambuzal
Performer	Ban Dhor
Performer	Bandero
Performer	Bandir
Performer	Bandola
Performer	Bandolim
Performer	Bandoneon
Performer	Bandoneón
Performer	Bandora
Performer	Bandura
Performer	Bandurria
Performer	Bangana
Performer	Bangu
Performer	Banhu
Performer	Banjar
Performer	Banjitar
Performer	Banjo
Performer	Banjo-Ukelele
Performer	Banjo-Ukulele
Performer	Banjolin
Performer	Banjouki
Performer	Banshee
Performer	Bansuri
Performer	Bantar
Performer	Bapang
Performer	Bara
Performer	Baraban
Performer	Baraka
Performer	Barbat
Performer	Barbiton
Performer	Barillas
Performer	Baritone
Performer	Baritone (Vocal)
Performer	Baritone Clarinet
Performer	Baritone Concertina
Performer	Baritone Flute
Performer	Baritone Guitar
Performer	Baritone Horn
Performer	Baritone Oboe
Performer	Baritone Saxophone
Performer	Baritone Trombone
Performer	Baritone Ukulele
Performer	Baritone Violin
Performer	Baritone Vocals
Performer	Baritonos
Performer	Barking
Performer	Baroque Alto Trombone
Performer	Baroque Bass
Performer	Baroque Bass Trombone
Performer	Baroque Cello
Performer	Baroque Flute
Performer	Baroque Guitar
Performer	Baroque Harp
Performer	Baroque Horn
Performer	Baroque Lute
Performer	Baroque Oboe
Performer	Baroque Organ
Performer	Baroque Rackett
Performer	Baroque Recorder
Performer	Baroque Trumpet
Performer	Baroque Viola
Performer	Baroque Violin
Performer	Barras
Performer	Barrel Drum
Performer	Barrel Organ
Performer	Barril
Performer	Bars
Performer	Baryton
Performer	Bas Dessus
Performer	Basblockflöjt
Performer	Basel Trommel
Performer	Baseline
Performer	Bases Ritmicas
Performer	Basque String Drum
Performer	Bass
Performer	Bass (Acoustic)
Performer	Bass (Electric)
Performer	Bass (Upright)
Performer	Bass (Vocal)
Performer	Bass (Washboard)
Performer	Bass [Additional]
Performer	Bass [Fender]
Performer	Bass [Fretless]
Performer	Bass [Uncredited]
Performer	Bass Accordion
Performer	Bass Balalaika
Performer	Bass Baritone
Performer	Bass Cello
Performer	Bass Clarinet
Performer	Bass Concertina
Performer	Bass Concerto
Performer	Bass Crumhorn
Performer	Bass Drone
Performer	Bass Drum
Performer	Bass Drums
Performer	Bass Dulcian
Performer	Bass Effect Treatment
Performer	Bass Explore
Performer	Bass Fiddle
Performer	Bass Flugelhorn
Performer	Bass Flute
Performer	Bass Guitar
Performer	Bass Harmonica
Performer	Bass Harp
Performer	Bass Horn
Performer	Bass Instrument
Performer	Bass Koto
Performer	Bass Lute
Performer	Bass Marimba
Performer	Bass Oboe
Performer	Bass Octaver
Performer	Bass Pan Pipes
Performer	Bass Pedals
Performer	Bass Programming
Performer	Bass Recorder
Performer	Bass Recorder / F-Bass Recorder
Performer	Bass Ruan
Performer	Bass Sackbut
Performer	Bass Samples
Performer	Bass Saxophone
Performer	Bass Sequencing
Performer	Bass Slide
Performer	Bass Station
Performer	Bass Synthesizer
Performer	Bass Synthesizer Samples
Performer	Bass Tenor
Performer	Bass Trombone
Performer	Bass Trumpet
Performer	Bass Tuba
Performer	Bass Viol
Performer	Bass Viola da gamba
Performer	Bass Violin
Performer	Bass Vocals
Performer	Bass-Baritone Vocals
Performer	Basse
Performer	Basse de Gambe
Performer	Basse de Viole
Performer	Basset Clarinet
Performer	Basset Horn
Performer	Basset Recorder
Performer	Bassi
Performer	Bassi Cantabili
Performer	bassila
Performer	Bassitar
Performer	Basso Buffo
Performer	Basso Continuo
Performer	Basso Profundo
Performer	Basso Synt
Performer	Bassoon
Performer	Basto
Performer	Basuri Bamboo Flute
Performer	Basy
Performer	Bata
Performer	Batá Drum
Performer	Bata Drums
Performer	Batá Drums
Performer	Batakonkon
Performer	Batanon
Performer	Bateria
Performer	Batida
Performer	Bato
Performer	Baton
Performer	Baton De Pluie
Performer	Battente
Performer	Batucada
Performer	Bawu
Performer	Bayan
Performer	Bazooka
Performer	Bazouki
Performer	Beat Box
Performer	Beat Programming
Performer	Beatbox
Performer	Beats
Performer	Bebny
Performer	Becken
Performer	Beejtar
Performer	Belching
Performer	Bell
Performer	Bell Guitars
Performer	Bell Plate
Performer	Bell Tree
Performer	Bellow-Blown Bagpipes
Performer	Bellowphone
Performer	Bellringer
Performer	Bells
Performer	Bellzouki
Performer	Bende
Performer	Bendir
Performer	Bendire
Performer	Benjo
Performer	Benju
Performer	Berda
Performer	Berde
Performer	Beresta
Performer	Berimbau
Performer	Beso
Performer	Bhapang
Performer	Bicie
Performer	Bicycle Bell
Performer	Biguela
Performer	Bilas
Performer	Billatron
Performer	Bilma
Performer	Bin-Sasara
Performer	Binghi Drum
Performer	Biniaouerien
Performer	Biniou
Performer	Birbynė
Performer	Birch Lur
Performer	Bird Calls
Performer	Bird Whistle
Performer	Bisernica
Performer	Biwa
Performer	Biwang
Performer	Blarge
Performer	Blaster Beam
Performer	Blekete
Performer	Block Flute
Performer	Blocks
Performer	Blues Harp
Performer	Boatswain's Pipe
Performer	Boca
Performer	Bock-a-da-bock
Performer	Bodhran
Performer	Bodhrán
Performer	Body Percussion
Performer	Boesendorfer Piano
Performer	Bogo
Performer	Bolivian Flute
Performer	Bolon
Performer	Bombard
Performer	Bombarde
Performer	Bombo
Performer	Bonang
Performer	Bonaphone
Performer	Bones
